Author,Title,New price,Old price,Stock
Mari Poisson,Dienoraštis apie laiką: rožių me...,9.97 €,13.29 €, Išsiųsime per 3–7 d.d.
François Rabelais,Gargantiua ir Pantagriuelis (2021),13.31 €,17.75 €, Papildymas pakeliui.
Fernando Cervantes,Konkistadorai,19.89 €,23.39 €, Turime sandėlyje.
No data,Mastocitozės diagnostikos ir gyd...,No data,No data, Išparduota.
Katy Flint,Muzikinė istorija. Žvėrių karnav...,26.36 €,29.29 €, Turime sandėlyje.
Vytautas Tamulaitis,Skruzdėlytės Greitutės nuotykiai...,17.59 €,21.99 €, Išsiųsime per 3–7 d.d.
"Romana Romanyšyn,...",Taip aš matau,15.74 €,20.99 €, Turime sandėlyje.
Mark Edwards,Atsekt iki namų,13.91 €,18.55 €, Turime sandėlyje.
Lara Bryan,Lėktuvas. Žvilgtelk vidun,10.69 €,12.59 €, Turime sandėlyje.
Vytautas V. Landsb...,Pūkis ir snaigė,3.19 €,3.99 €, Papildymas pakeliui.
Kristin Hannah,Seserys,13.78 €,18.55 €, Turime sandėlyje.
Gina Viliūnė,Spąstai pirklio žudikui,13.48 €,18.19 €, Turime sandėlyje.
No data,Sumanus mažylis. Mano pirmos užd...,11.79 €,13.89 €, Turime sandėlyje.
Michail Veller,Žmogus sistemoje,27.29 €,32.09 €, Turime sandėlyje.
No data,Baimė: mano pirmosios emocijos,7.49 €,9.99 €, Turime sandėlyje.
Elvyra Kučinskaitė,Baltosios Lokės knyga,16.09 €,18.89 €, Turime sandėlyje.
No data,Drovumas: mano pirmosios emocijos,7.49 €,9.99 €, Turime sandėlyje.
No data,Džiaugsmas: mano pirmosios emocijos,7.49 €,9.99 €, Turime sandėlyje.
Jan Patočka,Eretiskos esė apie istorijos fil...,20.65 €,24.29 €, Turime sandėlyje.
Max Lucado,Jei tik turėčiau žalią nosį,12.69 €,14.89 €, Turime sandėlyje.
Henri Bergson,Mąstymas ir judantysis,20.65 €,24.29 €, Turime sandėlyje.
Paul Meuser,Mėnulio architektūros gidas,15.69 €,18.49 €, Papildymas pakeliui.
No data,Pavydas: mano pirmosios emocijos,7.49 €,9.99 €, Turime sandėlyje.
Michael Shellenberger,Apokalipsės nebus. Kodėl panika...,18.14 €,24.19 €, Turime sandėlyje.
No data,BALTIC CHEFS. THE COOKBOOK,45.89 €,53.99 €, Turime sandėlyje.
Sofija Tyzenhauzaitė,Barbora Radvilaitė (2022),No data,No data, Tik knygynuose.
Eglė Zakaraitė,Kodėl geroms mergaitėms patinka...,15.69 €,18.49 €, Turime sandėlyje.
Kim Liggett,Skaistybės metai,13.09 €,17.45 €, Turime sandėlyje.
Marianne Cronin,Šimtas Lenės ir Margo metų,13.09 €,17.45 €, Turime sandėlyje.
Markus Schirner,Švytuoklės pasauliai: didžioji d...,14.24 €,18.99 €, Turime sandėlyje.
Aurika Karbonskienė,Bendrosios anesteziologijos pagr...,35.19 €,41.39 €, Liko vos keli vienetai.
Shane Hegarty,Botukas: dideli mažo robotuko nu...,10.25 €,11.39 €, Turime sandėlyje.
Tomas Dirgėla,Domas ir Tomas. Virėjos Irenos b...,10.94 €,14.59 €, Turime sandėlyje.
Karin Slaughter,GERA DUKTĖ. Viena garsiausių Ame...,14.95 €,18.69 €, Turime sandėlyje.
"Theresa Breslin, K...",Iliustruotas Škotijos tautosakos...,13.49 €,15.89 €, Turime sandėlyje.
Marco Balzano,Kai grįšiu,15.92 €,17.69 €, Turime sandėlyje.
"Rokas Sinkevičius,...",Kaunas Stanislovo Lukošiaus žvil...,19.29 €,22.69 €, Turime sandėlyje.
Barbara Stühlmeyer,Keliai į jo šviesą: dvasinė šven...,13.87 €,18.49 €, Turime sandėlyje.
Italo Calvino,Markovaldas,10.59 €,12.39 €, Turime sandėlyje.
Rene Descartes,Metafiziniai apmąstymai kartu su...,21.79 €,27.25 €, Papildymas pakeliui.
Italo Calvino,Nematomi miestai,10.59 €,12.39 €, Turime sandėlyje.
Aldona Ruseckaitė,Per žarijas,9.99 €,11.69 €, Turime sandėlyje.
Catherine Cho,Pragaras: atsiminimai apie motin...,11.24 €,14.99 €, Turime sandėlyje.
No data,Princesių istorijos: 5 minučių p...,5.99 €,7.89 €, Turime sandėlyje.
Reinhold Braun,"Randai: sutriuškinimas, nelaisvė...",11.89 €,13.99 €, Turime sandėlyje.
Stephen King,Skirtingi metų laikai,13.79 €,22.99 €, Išsiųsime per 3–4 d.d.
Jane Elson,Šuo Mėnulis,11.78 €,13.09 €, Turime sandėlyje.
Vanda Juknaitė,Ta dūzgianti ir kvepianti liepa yra,No data,No data, Tik knygynuose.
Dovilė Raustytė,Tobulų žmonių istorijos,11.24 €,12.49 €, Turime sandėlyje.
Bo Svernström,VAIKŲ ŽAIDIMAI. Žiauraus nusikal...,14.95 €,18.69 €, Turime sandėlyje.
Viltė Migonytė-Pet...,Weekendų miestai ir priemiesčiai...,24.49 €,28.79 €, Papildymas pakeliui.
"Juozas Gaižauskas,...",Žaižaruojančios dangaus skeveldros,13.04 €,14.49 €, Turime sandėlyje.
Lafcadio Hearn,"Berniukas, kuris piešė kates",15.69 €,18.39 €, Turime sandėlyje.
Robert Iger,Didžiausias gyvenimo nuotykis,15.69 €,18.39 €, Turime sandėlyje.
Joy Adamson,Gimusi laisva (2021),14.36 €,19.15 €, Turime sandėlyje.
Tae Keller,Kaip sučiupti tigrą,11.47 €,15.29 €, Turime sandėlyje.
Stanislovas Žvirgždas,Šviesoraščiai: iš fotografo užrašų,11.24 €,14.99 €, Turime sandėlyje.
Evelina Daciūtė,Duobė,15.15 €,17.79 €, Turime sandėlyje.
John Steinbeck,Į Rytus nuo Edeno,25.94 €,34.59 €, Turime sandėlyje.
Radka Píro,Jausmai: patrauk kortelę ir susi...,13.22 €,14.69 €, Turime sandėlyje.
Laima Vincė,Karantino dienoraštis,10.04 €,13.39 €, Papildymas pakeliui.
Algirdas Morkūnas,"Kelionės ant sofos: šalys, į kur...",10.37 €,17.29 €, Išsiųsime per 3–4 d.d.
No data,Liturginis kalendorius 2021–2022/C,4.33 €,8.65 €, Turime sandėlyje.
Vladimir Nabokov,Lolita,15.11 €,20.15 €, Turime sandėlyje.
Jennifer Lynn Barnes,Paveldėtojų žaidimai,14.75 €,16.39 €, Turime sandėlyje.
Agnesa Kenešytė-Gricė,Sulaukti aušros,17.09 €,18.99 €, Išsiųsime per 3–4 d.d.
Jakob Wegelius,Žudiko beždžionė,19.09 €,22.49 €, Turime sandėlyje.
Rita Dzedulionienė...,Girdžiai. Istorijos atodangos,29.59 €,36.99 €, Turime sandėlyje.
Olga Tokarczuk,Jautrusis pasakotojas,13.49 €,15.89 €, Turime sandėlyje.
Neringa Dangvydė,Kiaukuto nešėja,10.69 €,12.59 €, Turime sandėlyje.
Rita Valantytė,Laužytojai: mūsų gyvenimų etiuda...,17.90 €,19.89 €, Turime sandėlyje.
Vytautas Kandrotas,Lietuvos dvarai ir pilys (2021),14.97 €,21.39 €, Turime sandėlyje.
Meik Wiking,Menas kurti prisiminimus: kaip s...,15.22 €,20.29 €, Turime sandėlyje.
Toni Morrison,Mylima (2021),15.29 €,20.39 €, Turime sandėlyje.
Merlin Sheldrake,Raizgus gyvenimas: kaip grybai k...,17.99 €,23.99 €, Turime sandėlyje.
Donaldas Duškinas,Retorika mokytojams,11.54 €,15.39 €, Turime sandėlyje.
Janet Geringer Woi...,Suaugę alkoholikų vaikai: kaip n...,10.05 €,13.19 €, Turime sandėlyje.
Danielius Mušinskas,Vainiko pynimas,9.19 €,10.79 €, Turime sandėlyje.
Marieke Lucas Rijn...,Vakaro nejauka,12.26 €,16.35 €, Turime sandėlyje.
Jūratė Norvaišienė,Vienos raidės istorijos,18.35 €,21.59 €, Turime sandėlyje.
No data,2-mečių užduotys: mąstymo lavini...,4.29 €,4.99 €, Turime sandėlyje.
Eva Tombak,Ar čia kas nors yra? Dokumentini...,18.31 €,22.89 €, Turime sandėlyje.
Giedrė Norkūnė,Dievas trupino debesis,12.23 €,15.29 €, Turime sandėlyje.
Vladas Drėma,Dingęs Vilnius,51.29 €,60.29 €, Turime sandėlyje.
Inga Gaile,Gražiosios,12.25 €,14.39 €, Turime sandėlyje.
No data,Įdomusis pasaulis: mano pirmoji...,13.49 €,17.99 €, Turime sandėlyje.
Philip Yancey,"Jėzus, kokio niekada nepažinojau",15.15 €,17.79 €, Turime sandėlyje.
No data,Kalėdos jau čia pat: 6 dėlionės,7.67 €,9.59 €, Turime sandėlyje.
No data,Linksmų KALĖDŲ! 6 dėlionės,7.67 €,9.59 €, Turime sandėlyje.
No data,Mano transporto knyga,15.29 €,17.99 €, Turime sandėlyje.
Raimondas Jurgaitis,Mašiniukas Karlas: čempiono pusr...,11.79 €,13.89 €, Turime sandėlyje.
No data,Miške ir pievoje: su 20 magnetuk...,15.27 €,19.09 €, Turime sandėlyje.
No data,Pasakos iš stebuklų miško,15.15 €,17.79 €, Turime sandėlyje.
Ieva Bukienė,Skaitiniai pradinukams,9.19 €,10.79 €, Turime sandėlyje.
No data,Ūkyje. Su 20 magnetukų  3–4 metų...,15.27 €,19.09 €, Turime sandėlyje.
John F. Demartini,Vertybių faktorius: įkvėpiančio...,19.94 €,26.59 €, Liko vos keli vienetai.
Romas Vainulevičius,Vilkas vienišius,14.59 €,17.09 €, Turime sandėlyje.
Irina Koscelkovski...,Virtuvės paslaptys,15.15 €,17.79 €, Turime sandėlyje.
Dovilė Zavedskaitė,Fidelis ir kiparisas,15.29 €,17.99 €, Turime sandėlyje.
No data,Kakė Makė. Gimtadienio dainos: d...,19.79 €,21.99 €, Išsiųsime per 3–4 d.d.
"Omid Scobie, Carol...",LAISVĖS PAIEŠKOS. Harry ir Megha...,14.95 €,18.69 €, Turime sandėlyje.
Sofija Tyzenhauzaitė,"Lenkas Santo Dominge, arba Jauno...",10.57 €,14.09 €, Turime sandėlyje.
"Sky Chasers LT, Ma...",Lietuvos dangus. 2022 metų kalen...,No data,No data, Turime sandėlyje.
Leib Kvitko,Miške,5.35 €,6.29 €, Turime sandėlyje.
No data,Protmūšis su Lietuvos valdovais,5.93 €,6.59 €, Turime sandėlyje.
Richard Dawkins,Savanaudis genas,18.89 €,22.19 €, Turime sandėlyje.
Dr. Jen Gunter,Vaginos biblija,19.94 €,26.59 €, Turime sandėlyje.
Bentsiyen Raskin,"Višta, kuri norėjo šukų",5.35 €,6.29 €, Turime sandėlyje.
Viktorija Daujotyt...,Žemaitīnā. Žemaitynai,15.14 €,20.19 €, Turime sandėlyje.
"Inesa Paliulytė, K...",Laukimo pieva: skaitiniai nėščio...,17.99 €,21.19 €, Papildymas pakeliui.
No data,5 minučių pasakos prieš miegą,16.15 €,18.99 €, Turime sandėlyje.
Viktorija Daujotytė,Arvydas Šliogeris: „Mano element...,11.75 €,14.69 €, Turime sandėlyje.
Lina Žutautė,Ferdinandas ir Pū,14.03 €,15.59 €, Turime sandėlyje.
No data,Gyvūnų namai ir slėptuvės,10.09 €,11.89 €, Turime sandėlyje.
Johanna Spyri,"Heida 2. Heidai praverčia, ko iš...",16.18 €,19.04 €, Turime sandėlyje.
Bill Gates,Kaip išvengti klimato krizės: ko...,21.95 €,24.39 €, Turime sandėlyje.
Philip Kerr,Kovo našlaitės,11.45 €,13.45 €, Turime sandėlyje.
Margarita Del Mazo,Mano meškiai ir aš. Skaitymas sk...,9.01 €,10.61 €, Turime sandėlyje.
Bella Swift,"Mopsas, svajojęs tapti žvaigžde",10.70 €,12.59 €, Turime sandėlyje.
Holly Webb,Pirmosios šuniuko Kalėdos,5.75 €,6.39 €, Turime sandėlyje.
Avni Doshi,Pridegęs cukrus,17.90 €,19.89 €, Turime sandėlyje.
Megan Shepherd,Slapti Erškėtrožių kalvos žirgai,14.62 €,17.21 €, Turime sandėlyje.
Anna Milbourne,Sniegynai,9.83 €,11.56 €, Turime sandėlyje.
Dawn Casey,Žiemos pasakos,14.97 €,17.61 €, Turime sandėlyje.
Christelle Dabos,Žiemos sužadėtiniai,17.75 €,20.89 €, Turime sandėlyje.
Vykintas Vaitkevič...,101 įdomiausia Lietuvos vieta,15.29 €,16.99 €, Turime sandėlyje.
Stefan Ahnhem,18 laipsnių šalčio,14.32 €,19.09 €, Turime sandėlyje.
Christopher Lloyd,Britannica. Vaikų enciklopedija:...,30.14 €,33.49 €, Turime sandėlyje.
No data,Kas čia toks? Be!,4.15 €,4.89 €, Turime sandėlyje.
Ruta Sepetys,Tarp pilkų debesų: grafinis romanas,12.74 €,14.15 €, Turime sandėlyje.
No data,Trys kačiukai,4.15 €,4.89 €, Turime sandėlyje.
No data,„Projektas – homo sovieticus“. „...,12.25 €,14.39 €, Turime sandėlyje.
Egidijus Aleksandr...,Adamkus,22.37 €,26.99 €, Turime sandėlyje.
Rocio Bonilla,Brolis. Sesė,11.19 €,13.19 €, Turime sandėlyje.
Hiro Kamigaki,Imperijos labirinto bokšto pasla...,14.99 €,17.69 €, Turime sandėlyje.
No data,Kas trobelėje gyvena? Tuk tuk,4.15 €,4.89 €, Liko vos keli vienetai.
Jurgis Gimbutas,Lietuvos kaimo trobesių puošmenys,10.69 €,12.59 €, Turime sandėlyje.
No data,Stebuklingas princesių pasaulis,6.09 €,7.19 €, Turime sandėlyje.
Aistis Žalnora,Stepono Batoro universiteto Medi...,7.69 €,8.99 €, Turime sandėlyje.
No data,Trys cypliai viščiukai: cyp cyp,4.15 €,4.89 €, Turime sandėlyje.
Jurgis Usinavičius,Vėjas,12.59 €,17.99 €, Turime sandėlyje.
Karsten Dusse,Dėmesingo įsisąmoninimo vadovas...,18.80 €,20.89 €, Turime sandėlyje.
Bertrun Jeitner-Ha...,DIDŽIOJI VAIKŲ ŽAIDIMŲ IR DARBEL...,29.75 €,34.99 €, Turime sandėlyje.
Sigutis Obelevičius,Imunitetą stiprinantys augalai:...,13.79 €,22.99 €, Turime sandėlyje.
Jurga Šeduikytė,IŠŠŪKIS. Poilsio nuo darbo knyga,15.29 €,16.99 €, Turime sandėlyje.
Bergsveinn Birgiss...,JUODASIS VIKINGAS: tikra istorij...,No data,No data, Tik knygynuose.
Rosalind Ormiston,Leonardas da Vinčis. Gyvenimas i...,31.84 €,42.45 €, Turime sandėlyje.
"Indrė Pavilonytė,...",Marmiai. Draugystės magija,7.91 €,13.19 €, Turime sandėlyje.
No data,Mažylių kūryba: tapyba pirštais,6.09 €,7.19 €, Turime sandėlyje.
Catherine Belton,Putino žmonės. Kaip KGB susigrąž...,23.24 €,30.99 €, Turime sandėlyje.
Knister,Ragana Lilė Ponių saloje,7.55 €,8.39 €, Turime sandėlyje.
John A. Baker,Sakalas keleivis,12.29 €,14.39 €, Turime sandėlyje.
No data,Smagios šėlionės žiemos miške. I...,3.03 €,3.79 €, Turime sandėlyje.
Romain Gary,Toliau jūsų bilietas nebegalioja,11.24 €,14.99 €, Turime sandėlyje.
Quarto Kids,Vakaro istorijos mažiesiems,11.47 €,15.29 €, Turime sandėlyje.
No data,"Biblija, arba Šventasis Raštas (...",No data,No data, Išparduota.
No data,Jūros gelmėse: blizgūs piešiniai,5.99 €,6.99 €, Turime sandėlyje.
No data,Kakė Makė. Žiemos šėlionės. Didy...,6.29 €,6.99 €, Turime sandėlyje.
J.K. Rowling,Kalėdų paršelis,No data,No data, Išparduota.
Ramutė Skučaitė,Liepos mėnesį po liepa,9.99 €,11.69 €, Turime sandėlyje.
Emily Gravett,Lukas ir Tukas,11.47 €,13.49 €, Turime sandėlyje.
Undinė Radzevičiūtė,Minaretas ir 7,12.99 €,15.29 €, Turime sandėlyje.
Kamini ir Kirk Thomas,Modernioji Kama Sutra. Erotinio...,14.92 €,19.89 €, Turime sandėlyje.
No data,Stebuklų pasaulis: blizgūs pieši...,5.99 €,6.99 €, Turime sandėlyje.
Jean-François Kieffer,Vilkiaus nuotykiai. Dvi salos ir...,7.09 €,8.29 €, Liko vos keli vienetai.
Albina Blažytė-Bar...,Praeities dulkes nubraukus,No data,No data, Išparduota.
Kristin Harmel,Dingusių vardų knyga,11.99 €,19.99 €, Turime sandėlyje.
Anna Lembke,Dopamino tauta: pusiausvyros pai...,10.69 €,12.59 €, Turime sandėlyje.
Lina Žutautė,Du paršeliai,12.38 €,13.75 €, Turime sandėlyje.
Joanne Harris,Gervuogių vynas,9.25 €,15.59 €, Turime sandėlyje.
Chloé Esposito,Grėsmė Venecijoj,13.09 €,17.45 €, Turime sandėlyje.
Alex Schulman,Išlikusieji,14.39 €,15.99 €, Turime sandėlyje.
Frances Cha,Jei turėčiau tavo veidą,9.25 €,15.59 €, Turime sandėlyje.
Gina Wilkinson,Kai pražysta abrikosai,9.25 €,15.59 €, Turime sandėlyje.
Caitlin Doughty,Kai tavo veidas išnyksta dūmuose...,7.65 €,14.39 €, Turime sandėlyje.
Andrij Liubka,Karbidas,8.65 €,14.59 €, Turime sandėlyje.
David Park,Kelionė svetimame pasaulyje,11.33 €,12.59 €, Turime sandėlyje.
Kazuo Ishiguro,Klara ir Saulė,13.12 €,17.49 €, Turime sandėlyje.
Alka Joshi,Likimų tapytoja iš Džaipuro,13.87 €,18.49 €, Turime sandėlyje.
Tahir Shah,Mago mokinys,8.99 €,17.99 €, Liko vos keli vienetai.
Bethan Roberts,Mano policininkas,13.85 €,16.29 €, Turime sandėlyje.
Gabrielle Zevin,Nepakartojamas A. J. Fikrio gyve...,14.21 €,15.79 €, Turime sandėlyje.
Glennon Doyle,Nesutramdyta,13.49 €,17.99 €, Turime sandėlyje.
Natasha Lester,Paryžietiška apgaulė,17.99 €,19.99 €, Turime sandėlyje.
William Wharton,Paukštukas,9.25 €,15.59 €, Turime sandėlyje.
Jeannette Fischer,Psichoanalitikė kalbasi su Marin...,16.67 €,23.99 €, Turime sandėlyje.
Leila Meacham,Somersetas,19.69 €,23.19 €, Turime sandėlyje.
Joanne Harris,Šokoladas,9.25 €,15.59 €, Turime sandėlyje.
Claire Keegan,TOKIE SMULKŪS DALYKAI: skaidrus...,9.52 €,12.69 €, Turime sandėlyje.
Sandro Veronesi,Tu ir esi kolibris,13.12 €,17.49 €, Turime sandėlyje.
Renee Rosen,Vasara Parko aveniu,12.99 €,15.29 €, Turime sandėlyje.
